//(x,y,z,usr)
(,,)
(6.05953E-6,291.8214,15.700376)
(-1.2507917E-6,190.36441,-276.47458)
(-7.4941236E-6,192.00148,-276.32346)
(6.05953E-6,291.8214,15.700376)
(3.6452013E-6,192.03407,-276.3008)
(5.1682914E-6,291.46478,20.171741)
(3.7193295E-6,295.38962,23.788)
(3.7193295E-6,295.38962,23.788)
(-4.833445E-6,291.49796,19.686495)
(-1.0012042E-5,289.0928,20.656656)
(-3.1070158E-7,193.84576,-277.24268)
(-1.0012042E-5,289.0928,20.656656)
(-5.8954583E-8,295.0815,19.102524)
(-5.8954583E-8,295.0815,19.102524)
(8.646868E-6,296.69043,19.12656)
(3.4049458E-6,192.62021,-278.0955)
(1.7312402E-7,297.86328,35.089844)
(1.7312402E-7,297.86328,35.089844)
(-7.1934153E-7,282.6756,21.602139)
(2.8171596E-6,192.60883,-277.5841)
(3.3352142E-6,298.86014,10.529981)
(-4.0085297E-7,194.03546,-276.58887)
(-4.0085297E-7,194.03546,-276.58887)
(-4.0085297E-7,194.03546,-276.58887)
(3.3352142E-6,298.86014,10.529981)
(4.574225E-6,288.51364,19.06679)
(7.037745E-6,295.19492,11.32978)
(2.6468927E-6,193.26602,-279.3569)
(7.037745E-6,295.19492,11.32978)
(-3.3881593E-6,293.1774,25.236214)
(-3.3881593E-6,293.1774,25.236214)
(1.2453908E-5,295.49814,14.79243)
(-3.2325838E-6,193.0376,-279.51483)
(1.5423636E-6,296.4056,26.646345)
(1.5423636E-6,296.4056,26.646345)
(-5.770497E-6,304.65268,24.79625)
(4.899847E-6,301.47964,22.861746)
(4.899847E-6,301.47964,22.861746)
(1.3544076E-6,302.99536,19.425936)
(-8.62334E-7,190.98387,-277.93066)
(1.8037484E-6,302.12244,20.959843)
(1.8037484E-6,302.12244,20.959843)
(-1.0120164E-6,304.55313,25.989807)
(-1.0120164E-6,304.55313,25.989807)
(3.401041E-6,301.84982,10.256868)
(6.12323E-6,291.23938,8.646324)
(4.1693394E-7,191.33533,-277.6888)
(6.12323E-6,291.23938,8.646324)
(-3.3821611E-6,296.75647,25.635542)
(-2.743653E-6,296.7458,25.758568)
(-2.743653E-6,296.7458,25.758568)
(1.1477458E-6,191.38315,-277.5872)
(-8.085457E-6,290.1149,32.045563)
(-7.838908E-6,298.95206,24.964521)
(-7.838908E-6,298.95206,24.964521)
(-1.1470312E-5,299.85962,16.883121)
(-1.1470312E-5,299.85962,16.883121)
(-4.8542984E-6,300.15585,11.287251)
(-7.072776E-7,191.22879,-277.69357)
(4.4289322E-7,304.4663,26.989082)
(4.4289322E-7,304.4663,26.989082)
(-1.1451524E-5,294.23026,20.69397)
(-5.2234827E-6,294.1933,21.211395)
(-5.2234827E-6,294.1933,21.211395)
(2.695433E-6,192.33302,-277.40805)
(2.0685138E-6,300.6063,19.179907)
(-8.735501E-6,192.04475,-277.60776)
(-5.029628E-6,192.0263,-277.62057)
(-5.942369E-6,303.49722,16.681787)
(-5.942369E-6,303.49722,16.681787)
(-8.766421E-6,191.5542,-279.01147)
(1.0592959E-6,309.86218,13.748597)
(-3.9866172E-6,191.98276,-278.71674)
(-4.8743873E-6,291.95377,21.609324)
(2.6493694E-6,190.80484,-279.1533)
(-4.8743873E-6,291.95377,21.609324)
(2.3515895E-7,190.83139,-279.1351)
(-9.791427E-7,297.23718,22.801855)
(1.03647235E-5,189.8135,-277.93604)
(-9.791427E-7,297.23718,22.801855)
(4.28999E-7,190.04865,-277.77524)
(2.3949392E-6,191.16278,-277.28604)
(8.469949E-6,301.144,26.923687)
(2.3949392E-6,191.16278,-277.28604)
(2.3949392E-6,191.16278,-277.28604)
(6.3245247E-6,290.38904,35.41942)
(-6.34893E-6,191.08525,-278.88013)
(6.3245247E-6,290.38904,35.41942)
(2.6954774E-6,296.21863,17.189697)
(1.0595185E-5,300.17487,19.840643)
(-1.9324762E-6,192.22606,-278.09503)
(1.0595185E-5,300.17487,19.840643)
(-2.0682887E-6,191.37238,-278.68796)
(3.1376583E-6,305.70288,16.625967)
(-2.3368864E-6,191.0489,-278.9098)
(2.4591486E-6,297.12653,28.214962)
(-3.2683765E-6,192.10457,-277.93292)
(2.4591486E-6,297.12653,28.214962)
(4.728906E-7,191.27153,-278.50684)
(3.8998423E-6,192.07068,-277.95627)
(-3.297001E-6,299.8068,17.796535)
(-3.297001E-6,299.8068,17.796535)
(-4.0221266E-7,190.66353,-277.86716)
(1.746797E-6,291.22906,8.989986)
(3.5857568E-6,192.0402,-277.37323)
(6.376122E-6,301.24393,25.7818)
(-9.039343E-7,192.27332,-277.2117)
(6.376122E-6,301.24393,25.7818)
(-9.039343E-7,192.27332,-277.2117)
(2.6179873E-6,299.81653,17.632566)
(-9.039343E-7,192.27332,-277.2117)
(-6.7857513E-7,301.0077,20.593191)
(8.8601155E-7,192.25488,-274.3941)
(-6.7857513E-7,301.0077,20.593191)
(5.009588E-7,192.50417,-274.21924)
(5.3765234E-7,294.88428,21.937895)
(-5.02106E-6,190.68694,-276.1738)
(4.3938826E-6,297.38315,20.81162)
(-4.872922E-6,191.66959,-275.4926)
(4.3938826E-6,297.38315,20.81162)
(-3.074066E-6,190.28897,-273.92743)
(1.5375008E-7,189.80559,-274.26257)
(-3.554237E-7,296.8248,31.230509)
(-2.3960806E-6,193.5968,-276.27798)
(-1.3186332E-6,301.01898,20.427635)
(-1.3186332E-6,301.01898,20.427635)
(1.0258145E-6,192.9435,-276.73468)
(-7.151277E-7,295.92557,14.122953)
(-4.0015116E-6,193.07697,-273.53027)
(8.492012E-6,292.50943,18.63969)
(-1.7151251E-6,192.9137,-273.64548)
(8.492012E-6,292.50943,18.63969)
(-2.2773406E-6,191.25548,-273.91516)
(6.0041486E-7,294.1812,13.691755)
(3.6125111E-6,191.75102,-273.56845)
(6.0041486E-7,294.1812,13.691755)
(-2.1880576E-6,190.71794,-275.09912)
(9.41377E-7,285.36127,20.922447)
(6.5585573E-6,190.97043,-274.92392)
(-5.7824714E-6,288.03073,13.361139)
(-7.60366E-8,190.43735,-273.52588)
(-5.7824714E-6,288.03073,13.361139)
(-3.391068E-7,193.1778,-271.59738)
(-4.7736294E-6,290.08444,26.1896)
(3.4929462E-6,190.16978,-273.335)
(1.3036822E-5,296.71072,26.159718)
(1.7665919E-6,191.52531,-272.38702)
(1.3036822E-5,296.71072,26.159718)
(5.7776733E-6,190.49263,-272.53467)
(-3.7917555E-6,298.8899,16.846659)
(5.6677203E-7,189.08475,-273.5134)
(-7.656715E-6,297.64847,25.654175)
(1.0806434E-6,192.61552,-272.64093)
(-7.656715E-6,297.64847,25.654175)
(4.092642E-6,192.93596,-272.4142)
(-1.8519586E-9,301.35016,30.973154)
(1.5465048E-7,191.35123,-274.826)
(3.871853E-6,290.16983,14.741911)
(4.8957563E-6,192.36452,-274.1177)
(3.871853E-6,290.16983,14.741911)
(1.095998E-6,190.16101,-274.1852)
(1.979622E-6,190.43709,-273.99353)
(-1.0105858E-5,297.19608,33.78675)
(3.1955094E-7,189.90784,-272.67346)
(-1.0105858E-5,297.19608,33.78675)
(6.649112E-6,297.98138,18.398392)
(-3.0394203E-6,190.03851,-272.58246)
(-2.3994266E-6,293.90005,27.27153)
(-5.836273E-7,189.21016,-273.24643)
(-2.3994266E-6,293.90005,27.27153)
(5.5065353E-8,189.25616,-273.21448)
(4.504436E-6,292.6882,23.250954)
(6.3720045E-6,190.88124,-273.7578)
(4.6845007E-6,298.04852,17.277685)
(3.2009045E-6,190.65845,-273.91302)
(4.6845007E-6,298.04852,17.277685)
(3.8771595E-6,190.97072,-273.44092)
(5.402721E-6,300.63242,18.766788)
(-1.6604621E-6,191.99069,-272.72577)
(5.2522523E-7,296.04486,23.999763)
(7.7087515E-7,189.82935,-275.03116)
(5.2522523E-7,296.04486,23.999763)
(3.5033017E-6,189.75998,-275.07913)
(-7.694912E-6,294.8538,33.168255)
(-3.1198022E-6,191.15175,-271.84488)
(-7.694912E-6,294.8538,33.168255)
(3.25941E-6,190.41255,-272.36313)
(-1.48672425E-5,295.55893,13.223878)
(-3.7441941E-6,189.86983,-272.52255)
(4.46666E-6,290.07672,18.787704)
(1.5478212E-6,190.02919,-272.41144)
(4.46666E-6,290.07672,18.787704)
(2.2165452E-6,189.63777,-273.10715)
(-1.3275745E-6,282.66364,11.10432)
(3.7416476E-6,190.07892,-272.80023)
(-6.7843075E-6,276.94275,42.80139)
(8.000896E-6,191.57945,-273.17038)
(-3.0504816E-6,278.80057,-28.27561)
(3.6791628E-6,191.15102,-273.4703)
(-3.4086588E-6,191.18562,-273.4462)
(4.053261E-6,298.5444,-32.38335)
(-4.8006927E-6,326.4167,-17.779856)
(-3.4086588E-6,191.18562,-273.4462)
(-1.8063382E-5,303.29453,121.96893)
(-3.4086588E-6,191.18562,-273.4462)
(-3.1159718E-6,192.66731,-274.73087)
(9.0083176E-7,189.70724,-272.81067)
(-6.104474E-6,189.54883,-272.92072)
(-3.896812E-6,307.97388,142.25052)
(-8.398811E-6,327.55722,88.25768)
(-8.510128E-6,227.87703,4.9962544)
(-8.510128E-6,227.87703,4.9962544)
(1.7466164E-6,190.24208,-272.14774)
(-4.197636E-7,187.77565,-42.54323)
(-3.609539E-6,189.68248,-272.53815)
(-2.6204066E-6,232.39511,0.24117824)
(3.474438E-6,190.66454,-272.7341)
(-1.0335566E-6,232.55397,59.502316)
(2.722945E-6,191.25357,-272.3213)
(-6.3923594E-6,216.217,104.26916)
(-2.7972685E-6,190.25415,-273.31155)
(-8.773176E-6,190.15723,-273.37903)
(3.8388862E-7,224.4401,83.080284)
(-2.3436269E-6,119.67853,36.88856)
(5.1169686E-6,190.34834,-272.6596)
(2.7058377E-7,124.83519,9.994926)
(3.5935896E-6,190.51389,-272.54398)
(3.5935896E-6,190.51389,-272.54398)
(-4.4877534E-6,90.7466,-54.089172)
(3.5935896E-6,190.51389,-272.54398)
(-2.744553E-6,191.78297,-272.06836)
(1.7959974E-6,86.92724,-60.035275)
(-2.4600831E-6,91.46045,-52.873142)
(4.708431E-6,190.91676,-272.67694)
(3.238115E-6,97.26106,23.871078)
(9.870797E-7,191.63208,-271.69037)
(1.6794546E-6,98.80705,16.331305)
(-1.075748E-6,192.55473,-271.0373)
(4.042829E-7,126.55427,24.626732)
(3.0887275E-6,191.21516,-273.91656)
(-7.214828E-7,191.78891,-273.51514)
(6.272898E-7,129.22516,27.941936)
(1.2631925E-6,130.48276,21.310446)
(5.2539895E-6,190.6721,-273.8277)
(1.5978684E-7,128.17795,21.96253)
(-2.2106859E-7,121.116585,31.617132)
(-1.7941443E-6,190.61584,-273.86685)
(2.550332E-6,190.7307,-273.3264)
(3.4150253E-6,120.717896,33.10681)
(6.753908E-8,126.21704,28.668695)
(-3.0229783E-6,190.59795,-273.41898)
(7.8126504E-7,125.078995,33.28483)
(-3.4273676E-6,190.00954,-272.41156)
(5.100552E-6,189.64249,-272.66718)
(-2.7594904E-6,100.63776,43.574562)
(7.3743945E-6,191.02124,-273.13855)
(1.6344893E-6,98.049095,49.123074)
(-8.252659E-6,190.96338,-273.17902)
(-1.5567638E-6,106.65774,25.51132)
(3.1972022E-6,191.99327,-272.18723)
(-2.8168415E-7,121.028015,6.1673627)
(-1.8225933E-6,192.0945,-272.11572)
(1.0710437E-6,203.96194,43.40031)
(-3.9372503E-6,190.77449,-272.96664)
(2.5219194E-6,201.78152,52.614334)
(3.845599E-6,214.27454,88.72496)
(-2.3934729E-6,190.97737,-272.8248)
(-1.1671709E-6,191.23929,-273.07785)
(-3.807156E-6,219.57979,49.83624)
(-5.478179E-6,190.7569,-273.4151)
(-2.3365146E-6,191.87726,-271.81903)
(4.3265154E-6,221.85378,38.46869)
(6.5667564E-7,208.8889,54.62296)
(-2.7414615E-6,191.79416,-271.87772)
(-3.8122653E-6,199.42316,82.75658)
(-1.1346252E-6,191.96756,-272.67703)
(-1.8816853E-6,192.15579,85.232216)
(-1.0628662E-6,191.80783,-272.7894)
(3.205189E-6,165.47719,44.49231)
(-1.0967733E-6,166.42389,40.80894)
(2.2931974E-6,193.47087,-272.82935)
(2.2931974E-6,193.47087,-272.82935)
(-6.299797E-7,179.99168,25.577263)
(-1.9649858E-6,184.83301,41.568413)
(2.2931974E-6,193.47087,-272.82935)
(3.3234392E-6,194.802,-274.3524)
(-1.6212447E-6,184.67116,42.281437)
(-3.2903329E-6,192.66653,-271.92688)
(1.6183253E-6,192.89987,-271.76147)
(4.2794136E-6,172.79297,62.286037)
(-8.347604E-7,184.32426,55.041885)
(-5.3292405E-7,179.23549,69.85464)
(5.814388E-7,191.83076,-272.54114)
(-6.813127E-7,178.3586,-2.4830499)
(5.226557E-6,191.80713,-272.55768)
(1.0414556E-6,156.1114,2.6742415)
(-3.0750286E-6,191.99252,-273.18887)
(-1.3374824E-6,156.10397,3.0792015)
(7.288163E-6,192.51979,-272.81757)
(7.0594297E-7,185.42505,4.9384007)
(3.272605E-6,192.26256,-273.38586)
(-3.5134917E-7,184.87413,-15.113246)
(1.3308248E-6,192.71938,-273.064)
(-5.4239126E-6,212.96835,48.798313)
(4.152243E-6,193.03714,-272.5953)
(-8.1367716E-7,217.5404,35.24974)
(-2.0139849E-7,193.54063,-272.2381)
(-2.0000016E-7,217.3099,36.644173)
(-5.604704E-7,193.4694,-273.93396)
(9.9889185E-6,201.51582,58.579185)
(-1.3577869E-6,193.58514,-273.85217)
(-3.044779E-6,192.21219,-273.2483)
(-1.5881322E-6,219.53699,45.500557)
(-2.1976098E-6,220.96861,37.942802)
(3.857224E-7,192.48213,-273.05823)
(-3.067614E-6,215.57758,27.552696)
(3.0625802E-6,192.35645,-273.02365)
(-2.8361317E-6,225.0129,26.953121)
(2.1298445E-6,192.21236,-273.125)
(4.0855184E-6,224.50299,30.913994)
(-2.8409008E-6,193.27357,-273.56888)
(-1.1729746E-5,212.549,2.328024)
(-7.5758174E-7,193.20898,-272.60776)
(-6.306822E-7,208.17073,42.981514)
(1.7519307E-6,192.75677,-272.9277)
(5.10757E-6,212.0402,66.33416)
(-1.9543038E-6,192.47101,-273.1293)
(-1.2041824E-6,179.34448,50.092987)
(1.1931036E-7,192.35161,-273.87094)
(1.4781039E-6,178.8724,51.753437)
(2.713892E-7,192.33972,-274.24545)
(5.163042E-7,149.26332,27.502092)
(2.3062069E-6,192.49632,-274.1356)
(-6.2866775E-7,156.07004,44.003414)
(2.9510732E-6,192.0924,-274.4187)
(1.5309979E-6,148.85362,64.31753)
(-1.7633316E-6,192.4554,-272.0448)
(4.8874654E-7,149.18689,4.340802)
(6.036373E-7,192.337,-272.1285)
(6.019869E-6,192.28302,-273.0182)
(6.7319156E-6,193.07071,-272.51126)
(-5.691577E-6,192.76605,-272.7268)
(-8.686792E-6,192.99883,-272.5621)
(-1.4919351E-7,192.82338,-273.97604)
(1.9179806E-6,192.48642,-275.24902)
(2.600944E-6,192.70767,-275.0941)
(4.900409E-6,192.7542,-275.0615)
(-8.686701E-6,192.66428,-274.27722)
(-1.0622113E-6,192.39563,-274.6872)
(-4.6176066E-7,192.12505,-274.8765)
(-3.0984068E-6,192.91795,-273.7211)
(-2.4632639E-6,192.77429,-273.82227)
(3.1757843E-6,193.17566,-273.7086)
(5.3216525E-7,192.7744,-273.9914)
(5.2504342E-6,191.31175,-274.89285)
(5.062771E-6,191.65947,-274.65048)
(-3.1781826E-6,190.55455,-273.98224)
(-4.5829847E-6,190.5628,-273.97656)
(-3.671946E-6,190.90233,-273.52295)
(-1.3645762E-6,191.09227,-273.39035)
(-2.2643462E-6,190.78195,-272.3047)
(7.768108E-8,190.42819,-272.5522)
(-4.343795E-6,191.40303,-273.7374)
(3.1891072E-6,192.17514,-273.19595)
(1.2649718E-6,191.13286,-274.29895)
(3.8115681E-6,191.78891,-273.84067)
(4.2017778E-6,189.95795,-274.89438)
(8.504898E-6,190.22841,-274.70718)
(3.1197362E-6,191.50067,-272.86716)
(3.811962E-6,190.81625,-273.34616)
(1.5214846E-6,191.65057,-274.55704)
(-3.0953925E-6,190.38972,-275.43286)
(-3.0953925E-6,190.38972,-275.43286)
(-3.0953925E-6,190.38972,-275.43286)
(-2.4165433E-6,191.13034,-274.34482)
(9.929067E-7,190.69627,-274.6467)
(4.1033377E-6,189.88324,-273.62543)
(1.4462249E-6,189.59778,-273.8233)
(2.7453325E-7,190.86131,-273.77744)
(-9.800829E-7,190.57376,-273.97766)
(2.2825589E-7,190.49147,-274.00214)
(-2.6622636E-6,191.70143,-273.157)
(1.13807914E-7,190.76521,-273.5119)
(-3.6336046E-6,191.20633,-273.20367)
(-1.4484283E-6,190.87892,-272.74777)
(6.1354126E-6,191.09067,-272.59946)
(-4.3023192E-7,190.20352,-274.69046)
(-2.6031782E-6,190.22714,-274.6741)
(4.6732453E-7,189.80075,-274.10703)
(2.8620173E-6,189.53395,-274.29163)
(5.297031E-6,190.31851,-273.49063)
(-1.9999004E-6,190.2443,-273.5424)
(1.6412337E-6,190.25824,-273.41354)
(-1.7538297E-6,189.84229,-273.70248)
(3.7121742E-6,190.85335,-273.33032)
(-3.385412E-6,190.82768,-273.34824)
(8.3187155E-7,190.06032,-273.6984)
(-2.462263E-6,190.03287,-273.71747)
(-3.754963E-6,190.17152,-275.09265)
(7.952422E-7,190.58492,-274.80637)
(-1.5823389E-7,190.50714,-273.5903)
(-1.9566528E-6,190.55626,-273.5561)
(-4.5513025E-6,189.74123,-272.74893)
(-3.4195182E-6,189.88054,-272.65198)
(1.4985447E-6,190.0765,-272.41403)
(-2.244151E-6,190.52084,-272.10355)
(-1.7687762E-6,190.56471,-273.39594)
(4.621496E-6,191.29878,-272.88287)
(-8.434767E-7,190.08673,-275.73328)
(1.3912972E-6,190.6884,-275.3175)
(3.5159474E-7,190.5392,-275.06543)
(-7.8894345E-7,190.66623,-274.97733)
(-3.3026934E-6,189.86707,-274.0201)
(5.5819555E-6,190.23975,-273.76144)
(-4.618768E-6,190.21442,-274.2112)
(1.2243867E-6,190.32281,-274.136)
(1.4200396E-7,191.53795,-273.431)
(5.1793527E-6,191.27937,-273.612)
(-2.006077E-6,192.28287,-273.844)
(-2.6134953E-7,192.5896,-273.62836)
(4.9773253E-6,191.35658,-275.08707)
(-1.1797202E-6,190.81367,-275.46393)
(-6.65878E-7,194.54172,-279.45007)
(-2.1362803E-6,194.13118,-279.73547)
(-1.1252723E-6,193.47166,-275.664)
(-3.529618E-6,193.08412,-275.9356)
(-2.2688664E-6,192.79181,-274.06613)
(-4.5956253E-6,192.68085,-274.14423)
(3.9581604E-7,193.7501,-274.6748)
(-1.8528198E-6,193.50768,-274.84573)
(-6.8624568E-6,192.11438,-275.2338)
(-1.6595197E-6,192.17372,-275.19238)
(3.5281255E-6,192.74767,-275.62482)
(-8.701386E-7,192.52873,-275.77786)
(5.237257E-7,196.00833,-275.98932)
(3.4367076E-7,195.88385,-276.07773)
(-8.124681E-7,193.67593,-274.54)
(-1.0272163E-6,194.00699,-274.3062)
(-3.4253524E-6,194.32394,-274.92178)
(-2.3829898E-8,194.09132,-275.086)
(1.9882486E-6,196.24617,-275.77365)
(-2.2347729E-6,195.97415,-275.96704)
(1.9984134E-6,193.13133,-276.38086)
(1.510898E-8,193.34526,-276.23117)
(2.2680297E-7,194.80382,-276.74487)
(-9.283502E-7,194.37529,-277.04605)
(2.0565312E-6,192.02432,-275.092)
(4.1911335E-7,192.05011,-275.074)
(-4.7989706E-6,193.06781,-275.28384)
(-3.634426E-6,192.60608,-275.6071)
(3.1816778E-6,194.14316,-275.53333)
(-1.7376635E-6,193.75998,-275.80298)
(8.143323E-6,192.97382,-276.99374)
(-9.10453E-7,193.09254,-276.9111)
(-4.2090487E-6,192.18178,-276.20123)
(4.603238E-6,192.50595,-275.9754)
(1.4111993E-6,192.52527,-275.18045)
(2.4637166E-6,192.2177,-275.39545)
(2.473225E-6,193.02162,-274.79684)
(-5.0109065E-7,192.84764,-274.91895)
(3.353193E-8,194.04572,-274.4369)
(5.944829E-6,193.32587,-274.94437)
(4.4423164E-6,195.32161,-277.6736)
(4.548259E-6,195.2293,-277.7385)
(3.3308083E-6,190.31096,-277.59006)
(2.5690497E-6,191.58295,-276.7137)
(-1.3522168E-6,191.7912,-275.30698)
(-6.5750214E-8,192.72575,-274.6536)
(-2.608832E-6,191.2435,-275.62357)
(-3.0044134E-7,191.87814,-275.18216)
(2.8628392E-7,192.63441,-274.74722)
(-2.3707723E-6,192.49063,-274.848)
(1.5299429E-6,193.61143,-275.11115)
(7.2393977E-6,194.34976,-274.59003)
(3.761115E-6,193.8302,-277.43942)
(2.014467E-6,193.7986,-277.46152)
(5.73945E-6,191.6534,-275.40872)
(-5.211939E-7,191.47653,-275.5316)
(4.66578E-6,191.30931,-275.0076)
(-6.4323103E-7,191.75249,-274.6987)
(-3.3362536E-8,191.9904,-274.75873)
(3.16086E-6,192.25143,-274.5761)
(-1.1869395E-6,193.4924,-274.37363)
(-1.1869395E-6,193.4924,-274.37363)
(-1.1869395E-6,193.4924,-274.37363)
(-1.1869395E-6,193.4924,-274.37363)
(5.020138E-6,194.51791,-278.2295)
(-3.7936768E-6,191.58922,-275.44196)
(-4.367793E-6,191.34929,-275.6087)
(-2.862937E-6,191.14642,-275.46558)
(-4.3556156E-7,191.32045,-275.34476)
(-6.773792E-6,192.59367,-274.25623)
(-6.246078E-6,192.72026,-274.1673)
(-6.6511016E-6,193.10536,-275.12204)
(2.028362E-6,190.86581,-276.6804)
(3.710455E-6,191.86917,-275.6268)
(4.3448736E-6,190.91563,-276.28815)
(-6.6284656E-7,192.0217,-274.71854)
(-4.7176013E-6,191.6614,-274.97003)
(-8.997458E-6,191.30397,-276.12634)
(1.3201804E-6,191.52277,-275.97455)
(-1.23061E-6,192.55078,-276.958)
(1.2781925E-6,191.50746,-277.68036)
(2.0139266E-6,193.5571,-276.84442)
(-3.8848916E-6,195.6146,-275.39444)
(5.634365E-7,193.37993,-277.22137)
(-3.463374E-6,192.87373,-277.57385)
(9.058567E-7,191.32797,-278.01282)
(-2.2522543E-6,191.35529,-277.99405)
(-2.6913594E-7,192.35422,-276.79773)
(-3.1029565E-6,192.25024,-276.8699)
(2.5527195E-6,192.04095,-277.3001)
(-4.466583E-6,192.13255,-277.23672)
(-3.1109025E-6,193.89336,-277.17755)
(4.996651E-6,193.75499,-277.27432)
(2.6395337E-6,192.86488,-279.0467)
(-3.4127936E-7,192.88942,-279.02975)
(1.4606421E-6,192.19989,-280.93286)
(1.4712458E-6,192.73416,-280.56668)
(-2.1153392E-6,192.53143,-279.36234)
(-1.7839556E-6,192.61714,-279.30325)
(-3.061939E-7,192.02551,-279.80673)
(3.3032245E-6,191.473,-280.18518)
(6.4965657E-6,192.92001,-278.81934)
(5.480468E-6,192.56084,-279.06744)
(6.055887E-6,192.51929,-280.0177)
(5.8724386E-6,192.62018,-279.94833)
(-5.1024927E-8,193.02026,-280.4968)
(5.704635E-7,192.94337,-280.54968)
(-2.102707E-6,193.22472,-279.33984)
(5.311307E-6,192.56789,-279.79303)
(4.6004425E-6,192.88509,-278.68164)
(7.852941E-7,193.04425,-278.57135)
(4.5432134E-6,191.95175,-278.56958)
(-2.5264608E-6,192.0282,-278.51685)
(-1.4434249E-6,193.16478,-277.78217)
(-2.8132877E-6,193.29538,-277.69122)
(2.173308E-6,192.94896,-278.41818)
(4.928028E-7,192.78023,-278.53503)
(-2.1864957E-6,192.87413,-280.38385)
(-2.2013471E-6,192.621,-280.55777)
(-2.420544E-6,191.50995,-279.9447)
(3.0271915E-6,192.11499,-279.52982)
(-1.350179E-6,193.24013,-278.75162)
(-4.9759592E-8,193.10626,-278.84445)
(-4.5054912E-6,193.11072,-276.7801)
(-1.2223791E-6,192.93277,-276.90414)
(2.3682217E-6,194.81125,-274.99518)
(-3.3030142E-6,195.11992,-274.77618)
(-6.06174E-6,193.26097,-277.43625)
(4.0154077E-6,194.60002,-276.49863)
(1.3087434E-6,193.03323,-276.34064)
(1.633876E-6,193.2637,-276.17944)
(-1.7413265E-6,193.25386,-274.72092)
(2.8954105E-6,192.55339,-275.2122)
(-4.3986515E-6,193.13884,-276.5039)
(6.09379E-7,192.88408,-276.6817)
(1.3773388E-7,194.46147,-275.14246)
(-4.1045314E-6,193.30087,-275.95905)
(6.010698E-6,192.0209,-276.44406)
(1.5796246E-6,192.86272,-275.85742)
(-9.943568E-7,193.05276,-275.84378)
(6.9128278E-6,192.7763,-276.037)
(2.4902595E-6,192.37851,-275.08597)
(-1.0028259E-7,192.50047,-275.00067)
(1.1754014E-6,192.11595,-276.0727)
(-4.0762675E-6,192.3373,-275.91852)
(1.964197E-6,193.58377,-275.49658)
(-2.7135025E-6,193.46284,-275.5815)
(-1.5649441E-6,193.14148,-276.9807)
(-5.1848547E-6,193.6776,-276.60605)
(-1.8943695E-7,192.16931,-277.4492)
(-1.1448207E-7,192.14716,-277.46454)
(1.614087E-6,191.25432,-276.50742)
(2.988254E-6,192.58928,-275.57922)
(-1.6764538E-6,188.81978,-278.16116)
(-4.9717873E-6,192.40033,-275.69662)
(1.8365749E-6,191.0255,-278.39127)
(-1.15703074E-7,191.36702,-278.1566)
(2.2925087E-6,194.25005,-278.24515)
(-8.798179E-7,191.33926,-280.2547)
(1.7660221E-6,193.04153,-281.12753)
(4.672424E-6,193.25842,-280.97842)
(9.007612E-7,192.5164,-282.41165)
(-2.9877174E-6,192.41087,-282.48355)
(-8.8711425E-7,192.35117,-280.64578)
(-7.147363E-6,192.57323,-280.49344)
(-5.4904763E-6,192.55333,-280.80203)
(2.410233E-6,194.59074,-279.39407)
(-5.500209E-7,194.56155,-279.83646)
(9.7980426E-8,198.19563,-277.2744)
(6.943116E-7,194.45874,-281.81146)
(-1.2171313E-8,192.56273,-283.1103)
(7.520736E-7,192.46045,-285.12094)
(-3.1994714E-6,192.0173,-285.41965)
(-2.798806E-6,191.30307,-284.85593)
(1.007482E-6,190.88957,-285.13324)
(-3.2754945E-6,190.9609,-284.4466)
(1.0987134E-5,189.08043,-285.7001)
(-1.0629343E-6,193.92722,-283.31656)
(-3.0408596E-6,194.13449,-283.17462)
(3.899682E-6,198.70453,-282.38998)
(1.7769178E-6,197.63562,-283.1391)
(1.5142904E-6,199.62384,-282.9713)
(4.792628E-7,175.32042,-298.63882)
(-1.9497966E-5,242.9162,-246.45456)
(-3.1152013E-6,268.24088,-218.62057)
(3.4975344E-6,320.66275,-155.43936)
(1.7748387E-5,355.76926,20.351934)
(-2.0319658E-6,197.88205,-273.23517)
(1.0523363E-5,159.34851,-297.35977)
(-1.9792787E-6,167.7116,-312.33368)
(-7.870021E-6,181.89948,-304.2895)
(2.0399384E-5,293.51968,-220.82126)
(2.6749403E-5,224.78618,-290.49448)
(3.067689E-6,210.73993,-296.37253)
(-5.171187E-6,253.43561,-260.80344)
(7.877279E-6,223.76396,-273.47165)
(2.494835E-6,229.16164,-268.9647)
(-7.1886456E-7,249.53633,-257.19968)
(-2.7655187E-6,244.76903,-261.74072)
(-5.754937E-6,228.12236,-275.537)
(4.6520104E-6,270.50476,-234.06752)
(1.0966323E-5,244.84482,-247.138)
(9.4078125E-8,246.87106,-245.11383)
(6.92562E-7,284.47595,-192.66017)
(1.7612182E-6,197.34259,-281.2479)
(1.1424672E-5,178.2704,-291.62225)
(4.305257E-6,155.26135,-304.496)
(-4.5267734E-6,211.59474,-272.56143)
(7.018279E-6,230.28998,-256.96033)
(6.753835E-6,223.70302,-265.38113)
(1.7347556E-5,227.41621,-262.20605)
(-1.717126E-7,216.78261,-278.63217)
(-6.7613655E-6,213.99658,-280.7776)
(7.597919E-7,269.55722,-228.57855)
(-1.1407101E-5,264.5659,-234.33755)
(-2.43308E-7,233.94258,-259.48315)
(9.997457E-6,219.60297,-271.72632)
(5.728561E-6,266.05005,-261.85956)
